Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Word: Plantillas en profundidad,"Adquiere habilidades avanzadas en Word enfocándote en plantillas con este curso, diseñado para aquellos familiarizados con lo básico y que crean documentos similares frecuentemente. Aprende a aprovechar las plantillas preexistentes, desde su concepto hasta su uso como recurso. Profundiza en el diseño, interacción, gestión y distribución de plantillas, comenzando por lo básico y avanzando de manera gradual. Este contenido te permitirá mejorar tu eficiencia y productividad en Word.",Course,2023-09-16 14:18 UTC,N/A,false,N/A,
Liderazgo y trabajo en equipo,"Analiza en este curso los métodos más efectivos para favorecer el desarrollo individual y el avance constante del equipo bajo tu responsabilidad, siguiendo las técnicas de trabajo en equipo y liderazgo que se usan en Silicon Valley. Aprende a proporcionar y recibir feedback, a mantener conversaciones difíciles y a transmitir con claridad cuál es la misión del equipo que lideras. Repasa también algunas de las acciones que puedes aplicar para generar confianza, favorecer el bienestar de tus compañeros y que estos sean dos de los motores principales en tu éxito como líder.",Course,2023-09-07 01:42 UTC,N/A,false,N/A,
Excel para principiantes: Tablas dinámicas (365/2019),"En este curso de Excel para principiantes aprenderás a crear tus primeras tablas dinámicas. Esta poderosa herramienta de Excel hace que ahorres muchísimo tiempo a la hora de completar tareas para las que normalmente aplicas fórmulas complicadas. El curso se divide en dos bloques. Primero veremos cómo crear una tabla y las áreas donde colocar cada uno de los campos. A continuación, veremos cómo filtrar y ordenar la información y dar formato al informe. Finalmente, aprenderás a utilizar los filtros rápidos mediante botones, lo que conocemos como segmentación de datos, y por supuesto a utilizar la línea de tiempo, que te ahorrará mucho trabajo al filtrar por campos de fecha.",Course,2023-09-04 18:09 UTC,N/A,false,N/A,
Excel para principiantes: Cuadros de mando con fuente de datos externa (365/2019),"Crea un cuadro de mando en Excel que tome los datos de una fuente de datos externa y los introduzca en la hoja de cálculo. Gracias a este curso, aprenderás a convertir los datos en información y podrás hacer un seguimiento de la actividad de tu empresa y de sus objetivos. Descubre las relaciones entre las tablas a analizar, cómo crear las tablas y gráficos dinámicos que muestren toda la información y aplica las fórmulas que te ayudarán a obtener los principales indicadores o KPI necesarios para realizar un seguimiento de la actividad de tu empresa. También descubrirás cómo usar segmentadores y líneas de tiempo, que harán más rápido y dinámico el análisis, entre otros conceptos clave.",Course,2023-08-30 20:24 UTC,N/A,false,N/A,
Excel para profesionales de ventas,"Descubre las distintas herramientas que Excel ofrece y que vendedores, responsables de ventas o la alta dirección pueden utilizar en el día a día para mejorar las ventas y hacerlas más rentables. Durante el contenido aprenderás a cargar datos desde distintas fuentes y trabajar con tablas y gráficos dinámicos que permitan clasificar, organizar y presentar la información de forma mucho más útil y visual. También practicarás desarrollando una serie de herramientas específicas para profesionales de las ventas imprescindibles en el día a día, como una previsión de ventas, un gestor de oportunidades vivas o informes por periodo.",Course,2023-10-07 21:42 UTC,N/A,false,N/A,
Qué es la IA generativa,"<p>Ya sea que trabaje en el sector cinematográfico, médico, automovilístico, de marketing o de bienes raíces, la IA generativa está cambiando la forma en la que puede realizar su trabajo y quienes se adapten pronto cosecharán antes sus beneficios. Todas las profesiones se verán afectadas por la IA generativa. Su invención se puede comparar con la invención de la fotografía, una revolución creativa en verdad. Si desea ser parte de los líderes que están avanzando en esta revolución, este curso puede ayudarle a iniciar su recorrido de aprendizaje.</p>",Course,2023-10-23 23:44 UTC,N/A,false,N/A,
Excel Online esencial (Office/Microsoft 365),"Si ya utilizas Excel de escritorio pero necesitas utilizar Excel Online para añadir un plus de movilidad y colaboración a tus tareas, este curso es para ti. Aprenderás cómo funciona la versión online de Excel y a utilizarla con soltura y confianza desde cualquier dispositivo con conexión a Internet. También verás, paso a paso y con ejemplos, cómo se realiza un trabajo colaborativo, en coautoría, y las opciones de comunicación con comentarios para hacerlo cómodamente. Así mismo, comprenderás cómo se integra esta herramienta, con sus distintas versiones gratuitas, online y de pago, y con las demás soluciones de Office 365/Microsoft 365.",Course,2023-11-08 20:20 UTC,N/A,false,N/A,
Docker esencial,"Docker es un proyecto de código abierto que automatiza el despliegue de aplicaciones dentro de contenedores de software. En este curso verás que Docker te permite empaquetar una aplicación y sus dependencias en un contenedor virtual que se puede ejecutar en cualquier servidor Linux. Docker trabaja de forma flexible y con portabilidad donde la aplicación puede ejecutarse (en las instalaciones físicas, la nube pública, nube privada, etc.) proporcionando una capa adicional de abstracción y automatización de virtualización a nivel de sistema operativo en Linux.",Course,2023-11-01 02:53 UTC,N/A,false,N/A,
Virtual Selling for Sales Professionals,"Research shows 90% of sales have moved to video conferencing, and 50% of sales leaders believe this model will continue. Instructor Shari Levitin walks you through how this transformation to virtual selling works and how to make it work for you. First, Shari covers why virtual selling is vital, how to find your focus, and how to keep the technology that you use from becoming a distraction. The course goes into how to set up a productive home environment. Shari discusses how to research your clients online and on LinkedIn to build trust and credibility with your prospects. Next, Shari explains why it is harder to build trust online and how to do it anyway. The course takes you through how to incorporate all five senses and the right communication skills in order to create engaging virtual meetings. Shari emphasizes the importance of planning the next steps and putting your knowledge of virtual selling into action.",Course,2023-09-12 12:05 UTC,N/A,false,N/A,
Guía paso a paso para desarrollar tu marca de creación de contenidos en LinkedIn,"A lo largo de los años, LinkedIn ha pasado de ser un espacio donde subir tu currículo y buscar empleo a la creación de redes profesionales, convirtiéndose en una plataforma dinámica y en constante evolución. También empieza a destacar como un lugar para ser tú y crear tu propia identidad como creador de contenidos. Este curso te guiará a través de una serie de preguntas sobre tu propósito, tu visión, tu inspiración, tus miedos y tus bloqueos mentales, y luego te enseñará a incorporar estos elementos en el diseño de tu marca personal. Aprenderás a elaborar la historia de tu marca y a elegir tu fórmula de atracción, así como generar valor y comercializar tu imagen de creación de contenidos.",Course,2023-09-12 19:31 UTC,N/A,false,N/A,
Excel: Crear un dashboard intuitivo e impactante desde cero,"Aprende a crear en Excel paneles o cuadros de mando destinados al análisis y la toma de decisiones. Entiende paso a paso qué tablas dinámicas, funciones o gráficos necesitas para que sean intuitivos y permitan entender de una pasada gran cantidad de datos. Conoce los tipos posibles y sus distintas utilidades como, por ejemplo, para mostrar datos económicos y financieros o para el área comercial. Empieza hoy y no dejes escapar la ventaja competitiva que supone dominar los dashboard.",Course,2023-09-23 14:33 UTC,N/A,false,N/A,
Excel: Fórmulas y funciones avanzadas (Office 365/Microsoft 365),"Domina las fórmulas y funciones en Excel en su versión Microsoft 365 (antes Office 365) el programa de referencia en lo que se refiere a hojas de cálculo. Conoce paso a paso desde los conceptos más básicos hasta los más avanzados. Aprende cuáles son las fórmulas y funciones más importantes, como las de texto, de fecha, de búsqueda, condicionales, matemáticas, estadísticas o financieras, entre otras, y mejora tus conocimientos sobre cómo utilizarlas para conseguir cálculos más eficientes y eficaces.",Course,2023-10-16 23:25 UTC,N/A,false,N/A,
LinkedIn para la búsqueda de empleo,"Consigue empleo con LinkedIn, la red social profesional más grande del mundo. Aprende a optimizar tu perfil, tu red de contactos y tu forma de interactuar para expandir tu visibilidad y, con ello, tus posibilidades de encontrar trabajo. Tanto si buscas empleo por cuenta ajena como si buscas clientes porque eres autónomo, con este curso llevarás a un nuevo nivel tus posibilidades profesionales.",Course,2023-10-26 19:18 UTC,N/A,false,N/A,
